id,name,slug,batch_name,one_liner,website,year_founded,team_size,location,city,country,linkedin_url,twitter_url,github_url
30442,YouLearn,youlearn,Spring 2025,An AI tutor personalized to each student. ,https://www.youlearn.ai/,2023,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/youlearnai,https://x.com/youlearnai,
30443,VibeGrade,vibegrade,Spring 2025,AI that helps teachers grade papers 10x faster in their style.,https://vibegrade.com,2023,2,San Francisco,San Francisco,US,https://linkedin.com/company/gradeassist,https://x.com/vibegrade,
30444,Percival,percival,Spring 2025,Automating data entry with AI,https://www.percivaltech.com/,2025,2,San Francisco,San Francisco,US,,,
30445,Mbodi AI,mbodi-ai,Spring 2025,Embodied AI Platform for Industrial Robotics,https://www.mbodi.ai/,2024,3,New York,New York,US,https://www.linkedin.com/company/mbodiai,https://x.com/mbodiai,https://github.com/mbodiai
30446,Kirana AI,kirana-ai,Spring 2025,AI manager for grocery stores,https://www.kirana-ai.com,2025,2,New York,New York,US,,,
30447,Caucus,caucus,Spring 2025,The Last Piece of Software for the American Government,https://www.getcaucus.com/,,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/caucusgov,https://x.com/trycaucus,
30448,PgDog,pgdog,Spring 2025,Scale PostgreSQL with automatic sharding.,https://pgdog.dev,2025,1,San Francisco,San Francisco,US,https://www.linkedin.com/company/pgdog/,,https://github.com/pgdogdev/pgdog
30449,Attune,attune,Spring 2025,"Faster builds, zero effort.",https://attunehq.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/attunehq,https://x.com/attunehq,https://github.com/attunehq
30450,Kestral,kestral,Spring 2025,AI Work Prioritizer that connects customer impact to your work,https://kestral.team,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/kestral-team/,https://x.com/KestralTeam,
30451,Bluejay,bluejay,Spring 2025,E2E testing platform for AI voice agents.,https://getbluejay.ai/,,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/get-bluejay/,,
30452,Better Auth,better-auth,Spring 2025,The fastest growing auth library with 14k+ stars and 1.3mil downloads,https://better-auth.com/,2025,2,,,,https://www.linkedin.com/company/better-auth,https://twitter.com/better_auth,https://github.com/better-auth
30453,Parsewise,parsewise,Spring 2025,Extract Validated Data from Complex Documents,https://parsewise.ai,2024,2,,,,https://www.linkedin.com/company/parsewise,,
30454,operative.sh,operative-sh,Spring 2025,Browser agent tools to test web apps from within coding agents,https://operative.sh/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/operative-sh/,https://x.com/operative_sh,https://github.com/Operative-Sh
30455,The LLM Data Company,the-llm-data-company,Spring 2025,"Tooling for evals, judges and RL rewards",https://www.thellmdatacompany.com/,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/the-llm-data-company/,,
30456,Tinfoil,tinfoil,Spring 2025,AI that runs on the cloud with the privacy of on-prem,https://tinfoil.sh,2024,4,San Francisco,San Francisco,US,https://www.linkedin.com/company/Tinfoil/,https://x.com/TinfoilAI,https://github.com/tinfoilsh
30458,Jeevy Fabrication,jeevy-fabrication,Spring 2025,AI Driven EPC - Weld Fabrication Contractor,https://www.jeevyfabrication.com/,2025,3,"Cocoa, FL",Cocoa,US,https://www.linkedin.com/company/jeevy-fabrication/?viewAsMember=true,,
30459,Chiron,chiron,Spring 2025,Grammarly for math,https://projectchiron.org,2023,2,San Francisco,San Francisco,US,,,
30461,Combinely,combinely,Spring 2025,AI coworker for accountants,https://combinely.ai,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/combinely,https://x.com/Combinely,
30462,Clado,clado,Spring 2025,Deep Research for People,https://clado.ai,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/clado-ai,https://x.com/cladoai,
30463,Odapt,odapt,Spring 2025,How great teams build internal software & agent workflows,https://odapt.ai/,2025,3,,,,https://www.linkedin.com/company/odaptai/,https://x.com/Odapt_ai,
30464,Sixtyfour,sixtyfour,Spring 2025,Bloomberg for Sales,https://www.sixtyfour.ai/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/sixtyfourai,https://x.com/sixtyfourai,
30466,Labric,labric,Spring 2025,Data infrastructure and AI for scientific research labs,https://labric.co,2025,2,,,,,https://x.com/LabricPlatforms,
30467,Opusense AI,opusense-ai,Spring 2025,An AI agent to generate construction field reports while on site,https://www.opusense.com/,2024,2,"Toronto, Canada",Toronto,CA,https://www.linkedin.com/company/opusense,,
30468,Clidey,clidey,Spring 2025,"Auto-generated, always-current documentation from your codebase",https://clidey.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/clidey,https://x.com/clideyofficial,https://github.com/clidey/
30469,HABIT,habit,Spring 2025,Reshaping neighborhood services with robotics. Auto details are first.,https://habitrobotics.com,2025,2,"El Segundo, CA",El Segundo,US,https://www.linkedin.com/company/habitrobotics,https://www.x.com/habitrobotics,
30471,Kaizen,kaizen,Spring 2025,Integrate instantly with any website.,https://kaizenautomation.com,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/kaizen-automation-inc/,https://x.com/joinkaizen,https://github.com/kaizen-automation/
30472,Ticket Wallet,ticket-wallet,Spring 2025,AI-optimized ticket resale,https://www.ticketwallet.com,2023,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/ticket-wallet,,
30474,RunRL,runrl,Spring 2025,Reinforcement learning as a service,https://runrl.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/runrl/,https://twitter.com/runrl_com,https://github.com/runrl
30475,Morphik,morphik,Spring 2025,Open-source RAG alternative for building AI apps over multimodal…,https://morphik.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/morphik/,https://x.com/morphik_ai,https://github.com/morphik-org/morphik-core
30476,Nomi,nomi,Spring 2025,Cursor for Sales,https://heynomi.com,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/nomihq/,,https://github.com/nomihq
30477,Casco,casco,Spring 2025,"Evaluate AI agents and apps on security, safety, and accuracy.",https://casco.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/getcasco,,
30479,Crimson,crimson,Spring 2025,The AI platform for litigation lawyers,https://crimson.law,2025,3,,,,https://www.linkedin.com/company/106218761/,,
30480,Flott HQ,flott-hq,Spring 2025,AI-powered operating system for vehicle fleet management,https://www.flotthq.com,2025,2,,,,https://www.linkedin.com/company/flott-hq,https://x.com/flott_hq,
30482,Lucis,lucis,Spring 2025,Live 100 healthy years from a simple blood test,https://www.lucis.life,2025,3,"Paris, France",Paris,FR,https://www.linkedin.com/company/zero-health-eu,https://x.com/joinzero_,
30484,throxy,throxy,Spring 2025,Book meetings without the busywork. Bespoke fully managed outbound.,https://throxy.com/,2023,4,,,,https://www.linkedin.com/company/throxy/,https://x.com/throxyai,
30487,Lyra,lyrahq,Spring 2025,AI-Native Zoom For Revenue Teams,https://lyra.so/,2024,4,San Francisco,San Francisco,US,https://www.linkedin.com/company/lyra-so,https://x.com/uselyra,
30488,Theta Software,theta-software,Spring 2025,Self-Learning for AI Agents,https://thetasoftware.ai/,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/try-theta-software/,https://x.com/trytheta,
30491,Novoflow,novoflow,Spring 2025,AI receptionist that automates phone calls for medical clinics. ,https://www.novoflow.io/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/novoflow/,,
30492,Prism AI,prism-ai,Spring 2025,We use AI to watch your session recordings and tell you what to fix,https://prismreplay.com,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/prismreplay,https://x.com/teamprismai,
30496,QualGent,qualgent,Spring 2025,AI Quality Assurance agent for mobile software testing,https://qualgent.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/qualgent,https://x.com/Qual_Gent,
30497,Human Behavior,human-behavior,Spring 2025,"We reveal why users stay, leave, or pay",https://www.humanbehavior.co/,2025,3,San Francisco,San Francisco,US,,,
30498,Alkali,alkali,Spring 2025,The Co-Pilot for Chemical Process Design,https://alkali.engineering,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/alkali-engineering/,,https://github.com/Alkali-Sim
30500,Besimple AI,besimple-ai,Spring 2025,We make data annotation simple,https://besimple.ai,2025,2,"Redwood City, CA",Redwood City,US,https://www.linkedin.com/company/besimple-ai/,https://x.com/besimple_ai,
30501,Jazzberry,jazzberry,Spring 2025,(formerly Prophet) Training LLMs to be expert software testers,https://jazzberry.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/jazzberry-ai,https://x.com/Jazzberry_ai,
30503,Vesence,vesence,Spring 2025,Cursor for Lawyers. Agentic AI in MS Office.,https://vesence.com,2025,2,,,,https://www.linkedin.com/company/vesence,,
30506,Klavis AI,klavis-ai,Spring 2025,Open Source MCP Integrations for AI Applications,https://www.klavis.ai/,2025,2,,,,https://www.linkedin.com/company/klavis-ai/,,https://github.com/Klavis-AI
30507,ParaQuery,paraquery,Spring 2025,Fully-managed Spark + SQL at 2x speed and half the cost,https://paraquery.com,2023,1,New York,New York,US,,,
30511,Vassar Robotics,vassar-robotics,Spring 2025,Adaptive Automation That's Useful Today,https://www.vassarrobotics.com,2025,2,"Cambridge, MA",Cambridge,US,,,
30512,MorphoAI,morphoai,Spring 2025,AI powered CAD for robotics and machine engineering,https://morpho.ai/,2024,5,,,,https://www.linkedin.com/company/morphoai/?viewAsMember=true,,
30513,Eloquent AI,eloquent-ai,Spring 2025,The AI Operator for Financial Services,https://www.eloquentai.co/,2025,5,San Francisco,San Francisco,US,https://www.linkedin.com/company/eloquentai/,https://x.com/EloqAI,
30514,Scalar Field,scalar-field,Spring 2025,Reinventing the trading terminal — one intelligent agent at a time.,https://www.scalarfield.io/,2025,3,,,,https://www.linkedin.com/company/scalarfield/,,
30516,Bramante Biologics,bramante-biologics,Spring 2025,American drug manufacturing,https://www.bramantebio.com,2024,2,"Cambridge, MA",Cambridge,US,https://www.linkedin.com/company/bramante-biologics/,,
30517,ValueMate,valuemate,Spring 2025,Valuemate automates real estate appraisals with AI ,https://valuemate.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/valuemate-ai,,
30518,Zero,zero,Spring 2025,AI powered email client that manages your email so you don't have to.,https://0.email,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/zerodotemail/,https://x.com/zerodotemail,https://github.com/Mail-0
30519,Hemut,hemut,Spring 2025,AI-powered operating system for trucking companies.,https://www.hemut.com/,2024,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/hemut/,,
30522,Relixir,relixir,Spring 2025,The AI Generative Engine Optimization (GEO) Platform,https://relixir.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/relixir/?viewAsMember=true,,
30523,Mesmer,mesmer,Spring 2025,Cursor for CTOs,https://mesmer.co,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/mesmer-co/,,
30524,Lapel,lapel,Spring 2025,Customer operations platform for internet businesses.,https://lapel.com/,2025,2,San Francisco,San Francisco,US,,,
30526,chrt,chrt,Spring 2025,chrt is a platform for Time-Critical Logistics,https://chrt.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/chrt-inc/,https://x.com/chrt_inc,
30527,MindFort,mindfort,Spring 2025,Fully autonomous offensive security agents & models,https://www.mindfort.ai,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/106469568/,https://x.com/mindfort_ai,
30528,Probo,probo,Spring 2025,We make you SOC 2 (and more) compliant so you focus on your business.,https://www.getprobo.com/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/getprobo/,https://x.com/getprobo,https://github.com/getprobo
30529,WorkDone,workdone,Spring 2025,AI compliance copilot for hospitals to maximize insurance payouts,https://www.wrkdn.com,2025,5,San Francisco,San Francisco,US,https://www.linkedin.com/company/wrkdn,https://x.com/wrkdnai,
30530,Rimba,rimba,Spring 2025,Enterprise AI for automating sustainability and compliance processes,https://rimba.ai,2024,4,San Francisco,San Francisco,US,https://www.linkedin.com/company/rimba-compliance-automation/,https://x.com/Rimba_AI,
30531,Moby Analytics,moby-analytics,Spring 2025,AI Platform for financial auditors,https://www.mobyanalytics.com/,,4,"Paris, France",Paris,FR,https://www.linkedin.com/in/dimitri-kassubeck-69764647/,,
30533,Delty,delty,Spring 2025,AI staff engineer that designs systems and guides coding agents,https://delty.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/delty-ai,https://x.com/delty_ai,
30535,Cotool,cotool,Spring 2025,"Free your security team to hunt threats, not handle workflows",https://cotool.ai,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/cotool-ai,https://x.com/cotoolai,
30536,Propolis,propolis,Spring 2025,Hands off QA via intelligent browser agents. ,https://propolis.tech/,2025,2,New York,New York,US,https://www.linkedin.com/company/propolis-ai,,
30538,Den,den,Spring 2025,Cursor for knowledge workers,https://getden.io,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/deninc/posts/?feedView=all,https://x.com/supportingden,
30539,mlop,mlop,Spring 2025,Experiment tracking for training ML models,https://mlop.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/mlop,http://x.com/mlop_ai,https://github.com/mlop-ai
30540,Lumari,lumari,Spring 2025,AI internal software builder for non-technical teams,https://www.lumari.io/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/lumari-io,,
30541,Code Four,code-four,Spring 2025,Modernizing the police workflow.,https://codefour.us/,2025,3,,,,https://www.linkedin.com/company/codefourus/,,
30542,LineWise,linewise,Spring 2025,Troubleshoot factory line problems faster using AI,https://www.linewise.io/,2024,5,,,,https://www.linkedin.com/company/linewise,,
30543,Cactus,oncactus,Spring 2025,AI copilot for solopreneurs,https://oncactus.com,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/oncactus,https://x.com/oncactusai,https://github.com/cravd
30544,Wavedash,wavedash,Spring 2025,Play the latest games in your browser with no downloads,https://wavedash.gg,2024,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/wavedashgg/,https://wavedash.gg/,
30545,StarSling,starsling,Spring 2025,AI Portal for Developers That Ship 🛸,https://www.starsling.dev/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/starslingdev,https://x.com/starslingdev,https://github.com/starslingdev
30547,text.ai,text-ai,Spring 2025,AI in your group chats,https://www.text.ai/,2024,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/textdotai,https://x.com/textdotai,
30548,Theorem,theorem-2,Spring 2025,Program verification for mission critical code,https://theoremlabs.com/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/theoremlabs,https://x.com/theoremlabs,https://github.com/theorem-labs
30549,Airweave,airweave,Spring 2025,Open-Source Tool That Lets Agents Search Any App,https://airweave.ai,2025,2,San Francisco,San Francisco,US,https://nl.linkedin.com/company/airweave-dev,https://x.com/airweave_ai,https://github.com/airweave-ai/airweave
30552,sieve,usesieve,Spring 2025,AI + human review to solve data cleaning - accessible via API or Excel,https://usesieve.com/,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/usesieve,https://x.com/usesieve,
30553,Blueshoe,blueshoe,Spring 2025,The first AI worker for law firm operations.,https://blueshoe.com,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/blueshoeai/,https://x.com/blueshoeai,
30556,Cascade Space,cascade-space,Spring 2025,Deep space communications as a service,https://cascade.space,2025,2,"San Mateo, CA",San Mateo,US,https://www.linkedin.com/company/cascade-space/,https://x.com/cascade_space,
30557,Aegis,aegis,Spring 2025,We Help Healthcare Providers fight Health Insurance Denials,https://aegishealth.us/,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/aegis-yc-x25/,,
30558,BitPatrol,bitpatrol,Spring 2025,Secret detection that actually works,https://www.bitpatrol.io/,2024,1,New York,New York,US,https://www.linkedin.com/company/bitpatrol/,,https://github.com/BitPatrol
30559,Godela,godela,Spring 2025,AI Physics Engine,http://godela.ai,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/godela-ai,,
30560,SAVA Robotics,sava-robotics,Spring 2025,Sheet Metal Super Factory,https://www.savarobotics.com,2025,3,San Francisco,San Francisco,US,https://www.linkedin.com/company/savarobotics,https://x.com/SavaRobotics,
30561,Daxa,daxa,Spring 2025,Boost revenue and retention with an AI PM,https://www.getdaxa.com/,2024,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/getdaxa/,https://x.com/getdaxa,
30562,Docket,docket,Spring 2025,AI agents for QA testing,https://docketqa.com,2025,2,San Francisco,San Francisco,US,https://www.linkedin.com/company/docketqa/about/?viewAsMember=true,,
30565,Cohesive,cohesive,Spring 2025,The agentic CRM for blue collar businesses,https://getcohesiveai.com/,2024,2,New York,New York,US,https://www.linkedin.com/company/cohesive-ai,,
